epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
44,158.759,1.11954,1.38878,0.36741,0.66314,0.01713,5.34488,0.90728,0.7931,0.909,0.56403,0.90728,0.7931,0.909,0.34267,1.3318,2.39903,0.07805,0.78229,0.02093,0,0.00191486,0.00191486,0.00191486
45,162.412,1.18108,1.25527,0.38641,0.64266,0.01774,4.92244,0.97197,0.91379,0.9735,0.68287,0.91635,0.86207,0.90215,0.39857,1.10286,2.26017,0.08066,0.4696,0.01729,0,0.00191288,0.00191288,0.00191288
46,166.054,1.25943,1.12339,0.36665,0.64313,0.01856,4.71827,1,0.88879,0.98193,0.57227,0.96122,0.85475,0.94577,0.48505,1.59804,1.96214,0.08508,0.52519,0.02477,0,0.0019109,0.0019109,0.0019109
47,169.653,1.16414,1.17737,0.37899,0.63293,0.0171,4.52106,0.96471,0.94267,0.98679,0.66606,0.96471,0.94267,0.98679,0.73785,1.2489,0.92897,0.08273,0.40528,0.01872,0,0.00190892,0.00190892,0.00190892
48,173.452,1.20491,0.99253,0.39507,0.71267,0.01854,4.86378,0.97385,0.98276,0.99398,0.74548,0.88314,0.89655,0.87422,0.6576,0.99922,1.24168,0.08138,0.31769,0.01535,0,0.00190694,0.00190694,0.00190694
49,177.201,1.1305,0.98971,0.35335,0.63104,0.01748,4.53466,0.96987,0.98276,0.99311,0.77165,0.95935,0.94828,0.95371,0.73985,0.91928,0.98314,0.06321,0.32614,0.01365,0,0.00190496,0.00190496,0.00190496
50,180.766,1.1536,0.89198,0.36133,0.60994,0.01711,4.0217,1,0.95836,0.99289,0.61143,1,0.95836,0.99289,0.7833,1.46049,0.76536,0.055,0.42358,0.02311,0,0.00190298,0.00190298,0.00190298
51,184.392,1.22172,0.74793,0.36892,0.70271,0.0183,3.76917,0.96173,1,0.99311,0.56806,0.96173,1,0.99311,0.91179,1.59385,0.42757,0.07918,0.47709,0.02412,0,0.001901,0.001901,0.001901
52,188.069,1.25101,0.76254,0.35758,0.66425,0.01882,3.44789,0.90365,0.97027,0.97927,0.59505,0.90365,0.97027,0.97927,0.85847,1.33669,0.44248,0.07632,0.53482,0.01986,0,0.00189902,0.00189902,0.00189902
53,191.731,1.16814,0.72717,0.38576,0.62946,0.01752,3.39949,0.93604,0.89655,0.97683,0.57823,0.93604,0.89655,0.97683,0.87876,1.45149,0.47246,0.0761,0.49925,0.02145,0,0.00189704,0.00189704,0.00189704
54,195.327,1.19894,0.65072,0.35514,0.60924,0.0179,3.26289,0.87759,0.98896,0.98246,0.63149,0.87759,0.98896,0.98246,0.93647,1.29633,0.32749,0.08059,0.43704,0.0193,0,0.00189506,0.00189506,0.00189506
55,198.867,1.19315,0.59317,0.33524,0.62278,0.01832,3.25476,0.94261,0.93103,0.98374,0.54582,0.94261,0.93103,0.98374,0.87676,1.60881,0.48448,0.11325,0.53372,0.02406,0,0.00189308,0.00189308,0.00189308
56,202.587,1.20024,0.7987,0.35858,0.69411,0.01796,3.63584,0.98301,0.99781,0.99449,0.68745,0.96603,0.98056,0.96989,0.83305,1.0939,0.60236,0.07893,0.33181,0.01678,0,0.0018911,0.0018911,0.0018911
57,206.213,1.19557,0.73689,0.3363,0.63323,0.01684,3.31931,0.86109,0.98276,0.96866,0.60631,0.86109,0.98276,0.96866,0.9272,1.37147,0.23751,0.07441,0.52418,0.02032,0,0.00188912,0.00188912,0.00188912
