Layer Name                                         | Shape                | Parameter Count
model.21.cv2.bn.running_mean                       | [256]                | 256
model.21.cv2.bn.running_var                        | [256]                | 256
model.21.cv2.bn.num_batches_tracked                | []                   | 1
model.21.m.0.cv1.conv.weight                       | [128, 128, 3, 3]     | 147,456
model.21.m.0.cv1.bn.weight                         | [128]                | 128
model.21.m.0.cv1.bn.bias                           | [128]                | 128
model.21.m.0.cv1.bn.running_mean                   | [128]                | 128
model.21.m.0.cv1.bn.running_var                    | [128]                | 128
model.21.m.0.cv1.bn.num_batches_tracked            | []                   | 1
model.21.m.0.cv2.conv.weight                       | [128, 128, 3, 3]     | 147,456
model.21.m.0.cv2.bn.weight                         | [128]                | 128
model.21.m.0.cv2.bn.bias                           | [128]                | 128
model.21.m.0.cv2.bn.running_mean                   | [128]                | 128
model.21.m.0.cv2.bn.running_var                    | [128]                | 128
model.21.m.0.cv2.bn.num_batches_tracked            | []                   | 1
model.22.cv2.0.0.conv.weight                       | [64, 64, 3, 3]       | 36,864
model.22.cv2.0.0.bn.weight                         | [64]                 | 64
model.22.cv2.0.0.bn.bias                           | [64]                 | 64
model.22.cv2.0.0.bn.running_mean                   | [64]                 | 64
model.22.cv2.0.0.bn.running_var                    | [64]                 | 64
model.22.cv2.0.0.bn.num_batches_tracked            | []                   | 1
model.22.cv2.0.1.conv.weight                       | [64, 64, 3, 3]       | 36,864
model.22.cv2.0.1.bn.weight                         | [64]                 | 64
model.22.cv2.0.1.bn.bias                           | [64]                 | 64
model.22.cv2.0.1.bn.running_mean                   | [64]                 | 64
model.22.cv2.0.1.bn.running_var                    | [64]                 | 64
model.22.cv2.0.1.bn.num_batches_tracked            | []                   | 1
model.22.cv2.0.2.weight                            | [64, 64, 1, 1]       | 4,096
model.22.cv2.0.2.bias                              | [64]                 | 64
model.22.cv2.1.0.conv.weight                       | [64, 128, 3, 3]      | 73,728
model.22.cv2.1.0.bn.weight                         | [64]                 | 64
model.22.cv2.1.0.bn.bias                           | [64]                 | 64
model.22.cv2.1.0.bn.running_mean                   | [64]                 | 64
model.22.cv2.1.0.bn.running_var                    | [64]                 | 64
model.22.cv2.1.0.bn.num_batches_tracked            | []                   | 1
model.22.cv2.1.1.conv.weight                       | [64, 64, 3, 3]       | 36,864
model.22.cv2.1.1.bn.weight                         | [64]                 | 64
model.22.cv2.1.1.bn.bias                           | [64]                 | 64
model.22.cv2.1.1.bn.running_mean                   | [64]                 | 64
model.22.cv2.1.1.bn.running_var                    | [64]                 | 64
model.22.cv2.1.1.bn.num_batches_tracked            | []                   | 1
model.22.cv2.1.2.weight                            | [64, 64, 1, 1]       | 4,096
model.22.cv2.1.2.bias                              | [64]                 | 64
model.22.cv2.2.0.conv.weight                       | [64, 256, 3, 3]      | 147,456
model.22.cv2.2.0.bn.weight                         | [64]                 | 64
model.22.cv2.2.0.bn.bias                           | [64]                 | 64
model.22.cv2.2.0.bn.running_mean                   | [64]                 | 64
model.22.cv2.2.0.bn.running_var                    | [64]                 | 64
model.22.cv2.2.0.bn.num_batches_tracked            | []                   | 1
model.22.cv2.2.1.conv.weight                       | [64, 64, 3, 3]       | 36,864
model.22.cv2.2.1.bn.weight                         | [64]                 | 64
model.22.cv2.2.1.bn.bias                           | [64]                 | 64
model.22.cv2.2.1.bn.running_mean                   | [64]                 | 64
model.22.cv2.2.1.bn.running_var                    | [64]                 | 64
model.22.cv2.2.1.bn.num_batches_tracked            | []                   | 1
model.22.cv2.2.2.weight                            | [64, 64, 1, 1]       | 4,096
model.22.cv2.2.2.bias                              | [64]                 | 64
model.22.cv3.0.0.conv.weight                       | [64, 64, 3, 3]       | 36,864
model.22.cv3.0.0.bn.weight                         | [64]                 | 64
model.22.cv3.0.0.bn.bias                           | [64]                 | 64
model.22.cv3.0.0.bn.running_mean                   | [64]                 | 64
model.22.cv3.0.0.bn.running_var                    | [64]                 | 64
model.22.cv3.0.0.bn.num_batches_tracked            | []                   | 1
model.22.cv3.0.1.conv.weight                       | [64, 64, 3, 3]       | 36,864
model.22.cv3.0.1.bn.weight                         | [64]                 | 64
model.22.cv3.0.1.bn.bias                           | [64]                 | 64
model.22.cv3.0.1.bn.running_mean                   | [64]                 | 64
model.22.cv3.0.1.bn.running_var                    | [64]                 | 64
model.22.cv3.0.1.bn.num_batches_tracked            | []                   | 1
model.22.cv3.0.2.weight                            | [1, 64, 1, 1]        | 64
model.22.cv3.0.2.bias                              | [1]                  | 1
model.22.cv3.1.0.conv.weight                       | [64, 128, 3, 3]      | 73,728
model.22.cv3.1.0.bn.weight                         | [64]                 | 64
model.22.cv3.1.0.bn.bias                           | [64]                 | 64
model.22.cv3.1.0.bn.running_mean                   | [64]                 | 64
model.22.cv3.1.0.bn.running_var                    | [64]                 | 64
model.22.cv3.1.0.bn.num_batches_tracked            | []                   | 1
model.22.cv3.1.1.conv.weight                       | [64, 64, 3, 3]       | 36,864
model.22.cv3.1.1.bn.weight                         | [64]                 | 64
model.22.cv3.1.1.bn.bias                           | [64]                 | 64
model.22.cv3.1.1.bn.running_mean                   | [64]                 | 64
model.22.cv3.1.1.bn.running_var                    | [64]                 | 64
model.22.cv3.1.1.bn.num_batches_tracked            | []                   | 1
model.22.cv3.1.2.weight                            | [1, 64, 1, 1]        | 64
model.22.cv3.1.2.bias                              | [1]                  | 1
model.22.cv3.2.0.conv.weight                       | [64, 256, 3, 3]      | 147,456
model.22.cv3.2.0.bn.weight                         | [64]                 | 64
model.22.cv3.2.0.bn.bias                           | [64]                 | 64
model.22.cv3.2.0.bn.running_mean                   | [64]                 | 64
model.22.cv3.2.0.bn.running_var                    | [64]                 | 64
model.22.cv3.2.0.bn.num_batches_tracked            | []                   | 1
model.22.cv3.2.1.conv.weight                       | [64, 64, 3, 3]       | 36,864
model.22.cv3.2.1.bn.weight                         | [64]                 | 64
model.22.cv3.2.1.bn.bias                           | [64]                 | 64
model.22.cv3.2.1.bn.running_mean                   | [64]                 | 64
model.22.cv3.2.1.bn.running_var                    | [64]                 | 64
model.22.cv3.2.1.bn.num_batches_tracked            | []                   | 1
model.22.cv3.2.2.weight                            | [1, 64, 1, 1]        | 64
model.22.cv3.2.2.bias                              | [1]                  | 1
model.22.dfl.conv.weight                           | [1, 16, 1, 1]        | 16

===============================================================================================
[최종 결과] 총 파라미터 수 (Total Parameters): 3,021,500 개 (약 3.02M)
